,OWNER,NFT,NAME,BATCH,ACTIVE,REP
36,0:a4c14c539eba13707af06a0b92edd41e04486fd8638693ad117bfc857e32be2d,EQDDI-X-GnGcNEp2kynIdSEsdmt__wUXS-LN95RA_cZmFoFvEQD-ZnL6LC_aQPcI721y-B_mzwKWtPT0JEmWTXb8PrD2JAXgEQCHyHnjnF_Z1eX2SWCU6ioKdLwqpygu09FRGTxHeYmXE-9PEQC3GdTj-lpZm_5EcPBg46OLYeXdS67P2NUgvn6PMXkMtqrV,TONNEL Relayer #183TONNEL Relayer #393TONNEL Relayer #415TONNEL Relayer #540,BronzeBronzeBronzeBronze,NoNoNoNo,20.0
37,0:dbc9753c9fac45a1cf765fdcfa38f5d6b5c0f6a8af6917ba5ece58385a2f0b36,EQDFD9Laf3vE2xhJv3OGUie_x5UfsToPfEAPmqc35YAwDacIEQAw2Xb1_0_UIIfXFQk1PL4L4sxDvEDOX6-O9V0o0llygtC9EQBRczzud0XJBYwD6j6Y3GJCxK0TVxedJ9sE41_ypi6nuV8LEQDKCXU92FyCcD4bBGLZqylo3LcI2lZhuThVdRMhzKk6rFEp,TONNEL Relayer #118TONNEL Relayer #182TONNEL Relayer #295TONNEL Relayer #584,BronzeBronzeBronzeBronze,NoNoNoNo,20.0
38,0:6fd27096b4690264db486d359085ccc8c6e59fcb31e0f16787f7b340901f2a29,EQBCvk1FO8Vwvrc6xWVFYJ-FKA4-x95Ae5xuHngBiKeoXLXDEQB1uOc-hieChtbqQIxSJKBrpIeyZU8VZ3TBOa6iihVOAlFzEQC72Sp1iKhR2H-Rhn3PAvlg5wVbBEe7aUAV2LI60L4-NVe9,TONNEL Relayer #217TONNEL Relayer #508TONNEL Relayer #571,BronzeBronzeBronze,NoNoNo,15.0
39,0:3726e9c4244632460216c25164f60866aa42941d94e05429ea9095affb96a82c,EQAoMdn--kBoqMIsdQx0j9wxGha_zF1gmmZUwVHCStMj9km0EQAFdRZ3sYLGwxRVdsUop0gnSOQq_-SsSJwscHSPXfithhMyEQCPD-16ByFJ9y-ekQhx7_2gQ7inkpsUYaSAcDhQ9b6N-N1b,TONNEL Relayer #200TONNEL Relayer #212TONNEL Relayer #222,BronzeBronzeBronze,NoNoNo,15.0
40,0:244e08eb1a76419f8a052908b16a8529af2029b051904f5eeaf225760b69a299,EQD77hsYMO_HnoVEBc3mNOzWqhtUGrrNYyh1T_v_dhURcvLSEQB5Z9oTIehNEgMQlrXK6n8w0ppy8e1XJl_VOt1Gi-KEAQMkEQCznYD5ooj2SaMyhiISG2chvfR2XBlZhnZc4rHui3WMxHBG,TONNEL Relayer #235TONNEL Relayer #271TONNEL Relayer #320,BronzeBronzeBronze,NoNoNo,15.0
41,0:a3686bb2b3f670b9c1ac7806cb553bf5e61a09b97299a0fc48d9447b0b7631ac,EQDxVgPMYBa3Nbb2F4c4VbzDZNn9Rfs69uQPr8c0KoBAKQg3EQCpp1twPpMAgaZcXjlVUdOYNzlBo9uIZEsNzt7NfomGeIknEQAjOYNBFoKiR_YO2GyyzhMo84YPfcTRiILXVoJ3EYTmLqeh,TONNEL Relayer #352TONNEL Relayer #357TONNEL Relayer #388,BronzeBronzeBronze,NoNoNo,15.0
42,0:f936f8c9dae284feea52d2cd09b37bc05a826add0b8db4090ade2116167a2014,EQCG80v-K4gR2yya0ejweMTjVQ-QINN7QlUPeWxpVwhaPJGtEQBcdlAb4-zvLKyIMQBQ5HxD0-qJoyEN0spet7wQqFacIMKv,TONNEL Relayer #201TONNEL Relayer #270,BronzeBronze,NoNo,13.333333333333334
43,0:6174e4d86f552279db5de65fa15615c51a3fcd2262e5def1efe9385c5a86b8a8,EQBHp8yu4bQB5ja1cMMU-4RiodwpQFspgqJBJt7Idy9m2poV,TONNEL Relayer #265,Bronze,No,12.5
44,0:5f0ece66dee8b2925d52904b5cb140fda4d1ec26d2ff3e08f8452b36c41406de,EQDP5Zq8fgonJtjXvAMT0nbMMvXRyKekCre2YMRG1w8TWQ-VEQAhayYdYjOcJA3Qr96WEF_SbPCAJsyvuXfDg20MalgtBJKc,TONNEL Relayer #448TONNEL Relayer #532,BronzeBronze,NoNo,12.5
45,0:cd248a91d170739d0ec8913092338b15df51612f7ce4b2a21360067353e6588a,EQAqq9AT6an8KC7mpFSibD716_94_JARyPDWsXFkaDmBLp1n,TONNEL Relayer #291,Bronze,No,11.666666666666666
