,NFT,OWNER,NAME,BATCH,ACTIVE,REP
27,EQDvIS3U8eBIWmVKS_-6kCjBJUIkjiWRY2Qk4py-kjUsrxXa,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #27,Silver,No,250.0
28,EQAJ18SjCoFP1jPAU9WIDXIwgSKG4z4IFw8J-eEDxf3sIuwF,0:4174a55b92392d1d34dcc191ed8f2d8aa5f42896ef3c2bd8536025739ca5abcc,TONNEL Relayer #28,Silver,Yes,432.5
29,EQC43_URy_tJS9dvtdBsPjg6COcQjIo05amFlHH2YEox3_jd,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,TONNEL Relayer #29,Silver,Yes,314.14285714285535
30,EQDELwKRp0OOZ52_rX1pubHyuC7Q3ieYAca9Bcs3HCE6QkqJ,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de,TONNEL Relayer #30,Bronze,Yes,28.757000000000005
31,EQCQIgClBn-dKZMFFBt9bPDxNegrgQg6d-FrkMErYA4sgil-,0:4174a55b92392d1d34dcc191ed8f2d8aa5f42896ef3c2bd8536025739ca5abcc,TONNEL Relayer #31,Bronze,Yes,187.5
32,EQDB-m_AFY_WnVTSriFVUBQwt2f-GvCJkywTjHBZwGAwLER4,0:df4740cc51ce966ba0fd3ec59683dbaf708bdd77a63a593d0b008d7dc6357cfc,TONNEL Relayer #32,Bronze,Yes,275.0
33,EQCD3s46xdZX0AaFjXP2LKkVYhhn9UgotHLb1ww1w8XeSGIR,0:8f60fdf9202bc19cd2be848721a7fe317bfe7c1cbc9c8a038df3ff8f1d2d8931,TONNEL Relayer #33,Bronze,Yes,8.333333333333334
34,EQDy-D_dKB_-sRRJvKaQZknUPzBYNy_J2kFaxoFWG0gzOJY5,0:01d9667ce55c8fd4c35407da881c9c14de2030254dfa2c3de51d53ef46cc6e54,TONNEL Relayer #34,Bronze,No,5.0
35,EQC6MNDv_9rDZxoy2IyYBkYmnTfrgTi9Z9qWUoGL6Fvkyp1X,0:7b39673f61dfc7b7eb3eeaf69451d084ecd618499492e4a5957b81f599de6014,TONNEL Relayer #35,Bronze,Yes,889.5
36,EQBbFIQoTdFntefYT67Vgpo1tSGW4M2lYwG550FoCsTuzStm,0:efc78159f866bc1756d0ada37ad9cd20ae6d8105e1f8cf3fbf65cae01dfe8302,TONNEL Relayer #36,Bronze,Yes,3508.7499999999154
37,EQB_MUTNwk9b8FE7HWAxmRXcMLdkhSGuXNOErxwLNUjexfCK,0:01d9667ce55c8fd4c35407da881c9c14de2030254dfa2c3de51d53ef46cc6e54,TONNEL Relayer #37,Bronze,No,5.0
38,EQDld6Jy4ibemxRaRB2_30ycm5i4z1ZZZQI0zbH54ENbIwrM,0:960b161868ac80798f229afa626dab2f0f86a5690ff3e629116d9938f299cd13,TONNEL Relayer #38,Bronze,No,5.0
39,EQAXFjY--3rxVm7sxvn8ZDC3wv8g-PX3PWvqtD3yupdzuRjO,0:44096e25b6db5d1293569c9540973c9d9e0701fcc11f99c6672aab5534eccd6b,TONNEL Relayer #39,Bronze,Yes,94.88095238095222
40,EQAoWnfeA6e3kkzv5khVuaL-5D9Ot58Cz1B00gZ528KuhibF,0:288a70343eda256c1df0704f764171d2d4978e349614f7653b90bd53b36d81dd,TONNEL Relayer #40,Bronze,No,5.0
41,EQBf4ZygG0u5LgpTqwiA0rmhwoYxSNjka156vrmzghVvB9M-,0:17d209256bcd4dc6cf7ef6b9ccb9abd2c087c5eec2573e9dfa76379e032e8009,TONNEL Relayer #41,Bronze,Yes,5.0
42,EQCSnlua_jm-PNdb33gv8xh8hK_VGwh6nyaWl3qP9KXVlUDe,0:e5a2c0bb8431b9c8486d0edaf2d81acfd11255acb282cc60f60901c39032c668,TONNEL Relayer #42,Bronze,No,5.0
43,EQAlfRMwx1IaIl1iIaNFN0Xd2tsnPk-784ltLakd338Kb8GW,0:d306dae2b858e328b4dfc55f44665a137dda99d70e46f84efcec074a3b55be0e,TONNEL Relayer #43,Bronze,No,5.0
44,EQDEON5Wd7HXbeSjegQVevGtow8xhd4rznoUZHtVCi55UI8F,0:d326a94936694208acb041797c085e676c25475b2b8f679ea1f01ee85632b3d6,TONNEL Relayer #44,Bronze,Yes,25.0
45,EQBYg_45U04HMJdJp_btElrJidbMTcoCw_rf4l4D06TbAg9t,0:8f60fdf9202bc19cd2be848721a7fe317bfe7c1cbc9c8a038df3ff8f1d2d8931,TONNEL Relayer #45,Bronze,Yes,9.533333333333331
46,EQBt12-3stKlPe5zZ3pgTJh-zmcsU4Yz2fAB_Z1Nin-aadG1,0:429bdad1dc6f967b9edb3c27c04b50bbb12ff8276acba0e26b9013b45b01753e,TONNEL Relayer #46,Bronze,No,5.0
47,EQDoEgUGYQoSnXeju3VW_U2AWprxmBfLKKMSODIfO2fd8_S9,0:d306dae2b858e328b4dfc55f44665a137dda99d70e46f84efcec074a3b55be0e,TONNEL Relayer #47,Bronze,No,5.0
48,EQAv4VC7KRTVQsvtXHV9jPVREKO7QM5EJH0wBddq_ps1etCg,0:fd5e67c2492f9ae3476c7fca97183e8acfaebc43336e5f9eb0e3004b11279c9a,TONNEL Relayer #48,Bronze,No,6.25
49,EQBp6nIr6KeZHP8MT9a3S2VX81GuexD6iFCI4zHUw0XHWglo,0:3b8911886c4075e158ccceff3a1d21d1b041f565d81ccf9317b2b3841b8103a1,TONNEL Relayer #49,Bronze,No,157.49999999999994
50,EQDvvF-9rjaE5Z0BvWC4KkVKMwxn9zDPxDV-DhnTUauzIOGn,0:61bd908f01baa5a8769caf8bc62ff548ba35a3ed8f1e33a4f4d61a79967b687f,TONNEL Relayer #50,Bronze,Yes,5.0
51,EQArf_2ITM8eV9iPdLBRNfBR6TWjkvkVbXp49BV6vub8XUiL,0:b855040a3d3082b1347a12dc1d115e1270472cda85da92cea8b24745629ddc4e,TONNEL Relayer #51,Bronze,No,5.0
52,EQB0z4_5CtWuOLqf11_VWZVd7hG-K9NAdEmxgkfGzeMqj7W_,0:c55de9afaeaacfb2bc821e4b60124ad296e60438b1d052863c556cfa84e6a12d,TONNEL Relayer #52,Bronze,No,21.493506493506494
53,EQB_TythUBQHfNaeuxC4HdGgF4-Nv8y7qRTrEIELiDlJ7bhR,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #53,Bronze,No,5.0
54,EQBhWpe5SA5NhICYR5nFT0vB21rhqwmprS0-W7lFRiEQYw_X,0:77f35518b362481ccac8cfbde4966f25f96fd2c8e1961aff957d781c5fecbb47,TONNEL Relayer #54,Bronze,No,5.0
55,EQDwxQs_0M86xvxYz22k5ofF3zDBz2vx6YAqnys7xbZAp2dI,0:4c6b80aa3bcb4add20124c101a36076f5faa000777d34f252f6fdbb3c2a774d9,TONNEL Relayer #55,Bronze,Yes,7.142857142857143
56,EQCipQa7tPkkJhYh1BiViGUQA1FnmDrbHaYuU7H14NZyws6R,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,TONNEL Relayer #56,Bronze,Yes,23.60119047619048
57,EQDwqkEjR7wlDGLg_K3W3C9nsL_68-xjz49CVmaTsaNtx_MD,0:bd23ef5801b6def68aa55cebdc0f6f2b4c6cc7648186eb9a7823dabd04ff953d,TONNEL Relayer #57,Bronze,Yes,40.0
58,EQDUa2RULsyGtsEqVsRLASw5jaX9L8Ld22iU60ZnRgYeWrrQ,0:f59a38af28db24ada77c15057c52d3400ba6b2301e5b82feab62684e71228f2e,TONNEL Relayer #58,Bronze,Yes,5.0
59,EQA9Ktl5bmOQQuyQkb-Zymvxr9Vzz5CAHbfxl8K-AP9vqdMc,0:c2af13ea0300f863eba184fde41c7ac9ce7f9e1009341d51c8c5f5a8f6c6c50c,TONNEL Relayer #59,Bronze,No,7.142857142857143
60,EQAiWdvGQIVF2GFrE-3HT1Plfq8FNVI0yLufAmDktc_d9Nwz,0:b69a147d20245dcbcd6bbad7c988692a1f5f4ff661f31b65bee421fd65d8e5bf,TONNEL Relayer #60,Bronze,Yes,7.4
61,EQBix-zBWADmfoR6NygYcwVEgMI8R2JatL95i0uJaCMV0_5q,0:f90cb820a3e153846bfc7299f593c1901ba8c789d25dd9e8088f80cb9a0cefeb,TONNEL Relayer #61,Bronze,No,6.118233618233618
62,EQALdjld1pHW-HzCcjSlysjcj_mFH8-ZljnLqvSnrKzA5qx1,0:4288893333643de1f1625a8fd0a1508e738c14bffbf5107334d4977d047dda85,TONNEL Relayer #62,Bronze,Yes,5.0
63,EQCAabeV_KQPiEbbjs3yAy0kQ1W74HK6N4nFd2T0ZNURxFZR,0:a80abffdfb49ebf58003946286b30faf8b4ece0cf64040985e82b51143b22a9a,TONNEL Relayer #63,Bronze,Yes,5.0
64,EQBOBSDlRedZc83qjW2rId6NhZzw71fOts6T0y4nOfnpi9bV,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,TONNEL Relayer #64,Bronze,Yes,119.32738095238074
65,EQCUAilRCFCFSOFotxKNV9ArNDo7Db4E0QfBu0_IDnn3CqbY,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,TONNEL Relayer #65,Bronze,Yes,8.017857142857142
66,EQDnTcaop5sQL4B7f157tnWiWMIihUPFuYhACPh99prYYMJH,0:b69a147d20245dcbcd6bbad7c988692a1f5f4ff661f31b65bee421fd65d8e5bf,TONNEL Relayer #66,Bronze,No,6.8
67,EQDg8-01jja4rxrzn_4GKgWMzE8eDOtJr0SvlvSNng7RjQlq,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,TONNEL Relayer #67,Bronze,Yes,69.14285714285705
68,EQBj1BoCAokqSNpaFNE1nLcd8YKM-nz2BDiMNVwgdEwC4toY,0:faee4a6fb6ba69c9c6de5ffac88a4fffc7b2398646c87ccb8538d9f4bed2c376,TONNEL Relayer #68,Bronze,Yes,6.0
69,EQA5Iim-rCGt5e5cD21uoSpBSHve0jS6fGALVenshltu0pjy,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,TONNEL Relayer #69,Bronze,Yes,93.17261904761888
70,EQByEAPRVgq-n4sEtrePK2Ngpto7dsuT6QSehkyHlJhlB2Dh,0:21cfedcb1def125b02b551780de5ba4dec8b0a7b5c8d59e8f02091203dd1c8e5,TONNEL Relayer #70,Bronze,No,5.0
71,EQD9723TzdRAfdVOHGijVZZ7oT9-gu0izN0sdhzfsFPOG3kl,0:2aa6aae4c8d5babc8c06ce04441c2ccb3a6c45c76337169222b813cd34636a8d,TONNEL Relayer #71,Bronze,Yes,2827.5
72,EQC_6bDiI_6IVMZg-4IAZ2jLKW6Qc4d4HrFeuS_kOOar5hQ_,0:16ecdc56e1436bbf34ba3db8831a1008c7b6a775a71c82b6ffd256cc7aa39c4f,TONNEL Relayer #72,Bronze,Yes,5.0
73,EQBRjXTtWFoLKNmp4GQHDuBosjchodfhCoX78CVRNEcUjdII,0:5f0ece66dee8b2925d52904b5cb140fda4d1ec26d2ff3e08f8452b36c41406de,TONNEL Relayer #73,Bronze,Yes,7.5
74,EQB9FanMX380BS59mZOPV8x3GQ3zMWawuDd-nYQQNRiyLyoz,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,TONNEL Relayer #74,Bronze,No,43.83333333333334
75,EQBsaMexempAwIA-PJ9OIB2jBOJmUIWr_j66VMcnBonHgOcP,0:df4d78fb104cf22353277e22ba7f1539886e9d01f3e825f1d2f4f107eb825ecf,TONNEL Relayer #75,Bronze,Yes,5.0
76,EQDzYZZiE331tZvFp0tujN-1Ho-TYK3UwjH3uobjHTtf7RZj,0:f90cb820a3e153846bfc7299f593c1901ba8c789d25dd9e8088f80cb9a0cefeb,TONNEL Relayer #76,Bronze,No,6.118233618233618
77,EQCxm-PlY7d9Y8BZRyGbzAyhZqozSFy1d7OO_l7_5NuHIXw5,0:2aa6aae4c8d5babc8c06ce04441c2ccb3a6c45c76337169222b813cd34636a8d,TONNEL Relayer #77,Gold,Yes,3337.5
78,EQDVb6MznDwteQtqbG1H0svSjgntMP3cGvW1wIl1pCDANhTI,0:9d5c080ce1963556bd9699b2c141dca7d071bf3fca4e530de68076e0947f0797,TONNEL Relayer #78,Bronze,Yes,210.0
