,OWNER,NFT,NAME,BATCH,ACTIVE,REP
15,0:44096e25b6db5d1293569c9540973c9d9e0701fcc11f99c6672aab5534eccd6b,EQAXFjY--3rxVm7sxvn8ZDC3wv8g-PX3PWvqtD3yupdzuRjOEQCFUUMfylLO6Ak67uBAlR-_OROH6VccU93EcZ_BVRPY8At9EQDMlsy-y0aXxHHhY_ZwlfDiy0f1bSWL52OIYlmNHChUNvz7EQBUsn51gpnoU79wjwk6nVmkOoSnlEOjFeTr36-pqX-lEkKSEQCwPN4BKd8Pbjq8hKLFOoc9TtfbkZ3JZFLSZ-gL2XyK7xjKEQDgXF4vN34UlJAulEXhol3tNx4R0kkutBqxQVcp7dGCE2XsEQD9L6Ajh_-3Za9UsQVRFcijj28Xkj3Rpdt8LafTAzygMl-OEQBQwtbnmHuvskHh-IeYJpRmhlueqBSEc7o_pT29xr0d3bTP,TONNEL Relayer #39TONNEL Relayer #100TONNEL Relayer #119TONNEL Relayer #159TONNEL Relayer #277TONNEL Relayer #499TONNEL Relayer #574TONNEL Relayer #662,BronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,YesYesYesYesYesYesYesYes,1122.2321428571438
16,0:df4740cc51ce966ba0fd3ec59683dbaf708bdd77a63a593d0b008d7dc6357cfc,EQCibaB-HZGBHfloiIry6pEWRT2iPS25O2ooyBU10aUfzUwuEQDB-m_AFY_WnVTSriFVUBQwt2f-GvCJkywTjHBZwGAwLER4,TONNEL Relayer #3TONNEL Relayer #32,GoldBronze,YesYes,1030.0
17,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da,EQB8-v6vPBb9Kx2-7fFhw3h_mlN0SgwLVxhtTfZ9sgVDWylIEQCxwQN_-V9n74PIZXWZmMu1yHL8IVHmynqsWIbkhFay8lyP,TONNEL Relayer #22TONNEL Relayer #24,SilverSilver,YesYes,985.364
18,0:7b39673f61dfc7b7eb3eeaf69451d084ecd618499492e4a5957b81f599de6014,EQC6MNDv_9rDZxoy2IyYBkYmnTfrgTi9Z9qWUoGL6Fvkyp1X,TONNEL Relayer #35,Bronze,Yes,854.5
19,0:bb4ab5ac6254a1ed2d15d6a8e409a59bc6bc286b5b9eecd93f2ec80705253cc6,EQCBW1NcnZxqg5MCxmgHtF4tYdaRZkEi9v_lkhuOyRbuGBlWEQAnUF-_HlK-SwQVAhHWbHoK3-MzfvZdmEIByhYCMPmrNgMaEQAywsNtk4h73Ozdr9g_09xOrt81UbHSQboihxAPXkRb4W4c,TONNEL Relayer #128TONNEL Relayer #549TONNEL Relayer #647,SilverBronzeBronze,YesYesYes,782.9870129870129
20,0:b1f715f0119daa142513c72baf2de5de115eaf653e4355a05781f9706b892d7b,EQC0X4hBYfvkQQu-I43quq6-M6om8H-orL4yWDHuqCLO1NpqEQBAeN9AICdzFMbTHnDUEX3PRM07JtquhRKHeZMYDrxSYO43,TONNEL Relayer #8TONNEL Relayer #592,GoldBronze,YesYes,655.0
21,0:4174a55b92392d1d34dcc191ed8f2d8aa5f42896ef3c2bd8536025739ca5abcc,EQAJ18SjCoFP1jPAU9WIDXIwgSKG4z4IFw8J-eEDxf3sIuwFEQCQIgClBn-dKZMFFBt9bPDxNegrgQg6d-FrkMErYA4sgil-,TONNEL Relayer #28TONNEL Relayer #31,SilverBronze,YesYes,620.0
22,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,EQC43_URy_tJS9dvtdBsPjg6COcQjIo05amFlHH2YEox3_jdEQDg8-01jja4rxrzn_4GKgWMzE8eDOtJr0SvlvSNng7RjQlqEQCad0nuQcAoaJpd6GyagUeXipD0vvsHXOGLrsqTuKwJ6NzFEQCmW_3Xq4cs3DDK7nBwSuI2oTRhs6V3790T-JQEXvC8enIiEQBWaEhkEoLcay1xJQr6PXZ_iwp430oXFG14ulTzU8Ydqdl-,TONNEL Relayer #29TONNEL Relayer #67TONNEL Relayer #460TONNEL Relayer #589TONNEL Relayer #608,SilverBronzeBronzeBronzeBronze,YesYesYesYesYes,495.26190476190277
23,0:afe1b432650e51878c5af0c9af5f74d94c3aa859047f79cd79056738de467378,EQDBh43uk1AArxYLH5cFZzAwt1Kg8LE2sl-3Fa4_5W-M_tnO,TONNEL Relayer #21,Silver,Yes,385.0
24,0:ffb1a6a2f23194860da631fa80cc973f7c0e6f1980c252b283d11c4fddfa302a,EQDCiKB6K95GyQyw7AJ-HJI73X7qSkTfoCMhCrDoNl1PcLu5EQB9cIh9Y3yQmLEti0TFZw1zZrVH1ikjJ88VEnpdn7yehs6h,TONNEL Relayer #381TONNEL Relayer #483,BronzeBronze,YesYes,365.4166666666666
25,0:5d73d46431b1a22eb361b0a5bbabd9d91962a8df45657981b22067d4cab1809e,EQCFS8pjP0gpWnLBts_5g5Uz6Y9VI9LFAQ8Ag4JwTCL7JzLYEQBti28ub9SzezWpqF8FmQwliyjaxnsY2VeIgAEx4mVAe2UW,TONNEL Relayer #131TONNEL Relayer #505,BronzeBronze,YesYes,341.25
26,0:c160ab7c5433d49e98339a14ae734b468785bba9c53070b4d922ea6093f9949e,EQDEzDuujb2ua-218UTe7x4bfL9iBjNL9yPmv3lCreVPklxQEQBctNLXhy0ZN0jTONWmRVjK6Rcea_LyszTeoGZhzG2yVXpH,TONNEL Relayer #13TONNEL Relayer #625,SilverBronze,YesYes,315.0
27,0:108f9e9c9b254359bbaf6ca45f86880250052d017577482738617357686052ef,EQB1nGmcZF2hi2OgNd5_bX0WXr00t8Fiv4d3vZMVfR_-gjYyEQB7NI-9Nzqy9gfBBD6sVcc3-JdYWnxbWx--da_s6y3yRBgf,TONNEL Relayer #530TONNEL Relayer #661,BronzeBronze,YesYes,304.1666666666667
28,0:3c1e1ae406bf9a4e6250d88ea8f5ff7b9fd165d1a9bece360044e6548f385462,EQClBxKlcrv671BM4fPbATLSf38kPZCedw0iyOCQuYFJhVFf,TONNEL Relayer #12,Silver,Yes,250.0
29,0:9d5c080ce1963556bd9699b2c141dca7d071bf3fca4e530de68076e0947f0797,EQDVb6MznDwteQtqbG1H0svSjgntMP3cGvW1wIl1pCDANhTI,TONNEL Relayer #78,Bronze,Yes,205.0
30,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,EQCipQa7tPkkJhYh1BiViGUQA1FnmDrbHaYuU7H14NZyws6REQBOBSDlRedZc83qjW2rId6NhZzw71fOts6T0y4nOfnpi9bVEQCUAilRCFCFSOFotxKNV9ArNDo7Db4E0QfBu0_IDnn3CqbYEQAkG4dFeThO6QuYOty53JvY7Do7QlRSd5nf5C1RlmD7F4K6EQBA2dcGkrICTmu9_jHD6GGbbNEmg9QW9Fhi3uhzqYaVzqnwEQBgM_9ShaFtqUOMjkK6Jvui00DIYO17nVR4P13SVZewHPN_,TONNEL Relayer #56TONNEL Relayer #64TONNEL Relayer #65TONNEL Relayer #103TONNEL Relayer #168TONNEL Relayer #224,BronzeBronzeBronzeBronzeBronzeBronze,YesYesYesYesYesYes,171.1547619047617
31,0:19029bb34c372a48740c1c706c03add4c93774c720892f8be9c9b5975212e27a,EQAjrD2ahGVP_gm3Hqj2z_FM0U7mH0emlniqxV0KRxWffH7u,TONNEL Relayer #545,Bronze,Yes,135.0
