,NAME,BATCH,ACTIVE,REP
116,TONNEL Relayer #116,Bronze,No,7.619047619047625
117,TONNEL Relayer #117,Bronze,Yes,5.0
118,TONNEL Relayer #118,Bronze,No,5.0
119,TONNEL Relayer #119,Bronze,Yes,245.41666666666754
120,TONNEL Relayer #120,Bronze,No,5.0
121,TONNEL Relayer #121,Bronze,No,7.142857142857143
122,TONNEL Relayer #122,Bronze,No,8.952380952380953
123,TONNEL Relayer #123,Bronze,No,5.0
124,TONNEL Relayer #124,Bronze,Yes,48.333333333333314
125,TONNEL Relayer #125,Bronze,Yes,5.0
126,TONNEL Relayer #126,Bronze,Yes,5.0
127,TONNEL Relayer #127,Bronze,Yes,5.0
128,TONNEL Relayer #128,Silver,Yes,499.8268398268402
129,TONNEL Relayer #129,Bronze,No,5.0
130,TONNEL Relayer #130,Bronze,Yes,5.0
131,TONNEL Relayer #131,Bronze,Yes,268.75
132,TONNEL Relayer #132,Bronze,No,5.0
133,TONNEL Relayer #133,Bronze,No,5.0
134,TONNEL Relayer #134,Bronze,Yes,35.0
135,TONNEL Relayer #135,Bronze,No,6.118233618233618
136,TONNEL Relayer #136,Bronze,No,6.118233618233618
137,TONNEL Relayer #137,Bronze,No,5.0
138,TONNEL Relayer #138,Bronze,No,5.0
139,TONNEL Relayer #139,Bronze,No,5.0
140,TONNEL Relayer #140,Bronze,No,5.0
141,TONNEL Relayer #141,Bronze,No,5.0
142,TONNEL Relayer #142,Bronze,No,5.0
143,TONNEL Relayer #143,Bronze,No,6.805555555555556
144,TONNEL Relayer #144,Bronze,No,5.0
145,TONNEL Relayer #145,Bronze,Yes,5.0
146,TONNEL Relayer #146,Bronze,No,5.0
147,TONNEL Relayer #147,Bronze,No,5.0
148,TONNEL Relayer #148,Bronze,Yes,6.4
149,TONNEL Relayer #149,Bronze,No,5.0
150,TONNEL Relayer #150,Bronze,Yes,5.0
151,TONNEL Relayer #151,Bronze,No,5.0
152,TONNEL Relayer #152,Bronze,No,5.0
153,TONNEL Relayer #153,Bronze,No,15.833333333333337
154,TONNEL Relayer #154,Bronze,No,8.176190476190477
155,TONNEL Relayer #155,Bronze,No,7.285714285714292
156,TONNEL Relayer #156,Bronze,No,6.118233618233618
157,TONNEL Relayer #157,Bronze,No,5.0
158,TONNEL Relayer #158,Bronze,Yes,5.0
159,TONNEL Relayer #159,Bronze,Yes,91.54761904761894
160,TONNEL Relayer #160,Bronze,No,10.555555555555554
161,TONNEL Relayer #161,Bronze,No,5.0
162,TONNEL Relayer #162,Bronze,No,5.0
163,TONNEL Relayer #163,Bronze,No,5.0
164,TONNEL Relayer #164,Bronze,Yes,5.0
165,TONNEL Relayer #165,Bronze,Yes,10.0
166,TONNEL Relayer #166,Bronze,Yes,5.0
167,TONNEL Relayer #167,Bronze,No,5.0
168,TONNEL Relayer #168,Bronze,Yes,7.976190476190477
169,TONNEL Relayer #169,Bronze,No,7.857142857142854
170,TONNEL Relayer #170,Bronze,No,5.0
171,TONNEL Relayer #171,Bronze,No,5.0
172,TONNEL Relayer #172,Bronze,Yes,5.0
173,TONNEL Relayer #173,Bronze,No,8.142857142857142
174,TONNEL Relayer #174,Bronze,No,5.0
175,TONNEL Relayer #175,Gold,Yes,3709.166666666668
176,TONNEL Relayer #176,Bronze,No,5.0
177,TONNEL Relayer #177,Bronze,No,5.0
178,TONNEL Relayer #178,Bronze,No,5.0
179,TONNEL Relayer #179,Bronze,No,5.0
180,TONNEL Relayer #180,Bronze,No,5.0
181,TONNEL Relayer #181,Bronze,No,22.232142857142858
182,TONNEL Relayer #182,Bronze,No,5.0
